Gross,IMDB_Rating,Director,Genre,Released_Year,No_of_Votes
26947624,8.1,Ron Howard,"Action, Biography, Drama",2013,432811
117624028,8.1,James Mangold,"Action, Biography, Drama",2019,291289
45055776,8.1,Tom McCarthy,"Biography, Crime, Drama",2015,420316
857524,8.1,Tomm Moore,"Animation, Adventure, Drama",2014,51679
1035953,8.1,Sujoy Ghosh,"Mystery, Thriller",2012,57806
3108485,8.1,Zoya Akhtar,"Comedy, Drama",2011,67927
61002302,8.1,Denis Villeneuve,"Crime, Drama, Mystery",2013,601149
154058340,8.1,George Miller,"Action, Adventure, Sci-Fi",2015,882316
23530892,8.1,Neeraj Pandey,"Action, Crime, Drama",2008,73891
148095302,8.1,Clint Eastwood,Drama,2008,720450
381011219,8.1,David Yates,"Adventure, Drama, Fantasy",2011,764493
1498210,8.1,Yôjirô Takita,"Drama, Music",2008,48582
23530892,8.1,Lasse Hallström,"Biography, Drama, Family",2009,253575
23530892,8.1,Adam Elliot,"Animation, Comedy, Drama",2009,164462
217581231,8.1,Dean DeBlois,"Animation, Action, Adventure",2010,666773
18354356,8.1,Sean Penn,"Adventure, Biography, Drama",2007,572921
74283625,8.1,Ethan Coen,"Crime, Drama, Thriller",2007,856916
2217561,8.1,Rajkumar Hirani,"Comedy, Drama, Romance",2006,43137
100492203,8.1,Clint Eastwood,"Drama, Sport",2004,635975
23530892,8.1,Terry George,"Biography, Drama, History",2004,334320
1111061,8.1,Je-kyu Kang,"Action, Drama, War",2004,37820
5820649,8.1,Richard Linklater,"Drama, Romance",2004,236311
23530892,8.1,Rajkumar Hirani,"Comedy, Drama, Musical",2003,73992
14131,8.1,Bong Joon Ho,"Crime, Drama, Mystery",2003,139558
300000,8.1,Farhan Akhtar,"Comedy, Drama, Romance",2001,66803
70099045,8.1,Quentin Tarantino,"Action, Crime, Drama",2003,1000639
380843261,8.1,Andrew Stanton,"Animation, Adventure, Comedy",2003,949565
164615351,8.1,Steven Spielberg,"Biography, Crime, Drama",2002,832846
5383834,8.1,Alejandro G. Iñárritu,"Drama, Thriller",2000,223741
289916256,8.1,Pete Docter,"Animation, Adventure, Comedy",2001,815505
23530892,8.1,Hideaki Anno,"Animation, Action, Drama",1997,38847
70147,8.1,Ashutosh Gowariker,"Adventure, Drama, Musical",2001,105036
293506292,8.1,M. Night Shyamalan,"Drama, Mystery, Thriller",1999,911573
259127,8.1,Giuseppe Tornatore,"Drama, Music, Romance",1998,59020
125618201,8.1,Peter Weir,"Comedy, Drama",1998,939631
