Genre,IMDB_Rating,No_of_Votes,Gross,Released_Year
"Biography, Drama",8.1,40081,177345.0,1975
"Drama, Mystery, Thriller",8.1,294230,29000000.0,1974
"Comedy, Crime, Drama",8.1,42285,30933743.0,1973
Drama,8.1,30206,1742348.0,1972
"Drama, Mystery, Sci-Fi",8.1,81021,23530892.0,1972
"Crime, Drama, Mystery",8.1,45434,39481.0,1967
"Crime, Drama",8.1,161984,16217773.0,1967
"Drama, Thriller",8.1,103191,23530892.0,1966
"Biography, Drama, History",8.1,46947,102021.0,1966
"Drama, War",8.1,53089,55908.0,1966
"Drama, Fantasy",8.1,29682,23530892.0,1962
"Drama, Horror, Thriller",8.1,50058,4050000.0,1962
"Action, Comedy, Crime",8.1,33044,23530892.0,1962
"Drama, Western",8.1,68827,23530892.0,1962
"Drama, War",8.1,31728,23530892.0,1962
Drama,8.1,26697,1526000.0,1960
"Biography, Drama, History",8.1,27254,23530892.0,1960
"Crime, Drama",8.1,105291,23530892.0,1959
"Adventure, Drama, History",8.1,219466,74700000.0,1959
"Adventure, Drama",8.1,34797,23530892.0,1958
Drama,8.1,42940,752045.0,1957
"Drama, History",8.1,46678,23530892.0,1957
"Adventure, Drama, War",8.1,203463,44908000.0,1957
"Crime, Drama, Thriller",8.1,142107,9600000.0,1954
"Adventure, Drama, Thriller",8.1,54588,23530892.0,1953
"Drama, Film-Noir",8.1,31568,3969893.0,1951
"Action, Crime, Drama",8.1,29807,23530892.0,1949
"Film-Noir, Mystery, Thriller",8.1,158731,449191.0,1949
"Drama, Music, Romance",8.1,30935,10900000.0,1948
"Comedy, Drama, Romance",8.1,28450,203300.0,1940
"Drama, Mystery, Romance",8.1,123942,4360000.0,1940
"Comedy, Drama",8.1,107017,9600000.0,1939
"Drama, History, Romance",8.1,290074,198676459.0,1939
"Drama, War",8.1,33829,172885.0,1937
"Comedy, Romance",8.1,94016,4360000.0,1934
"Biography, Drama, History",8.1,47676,21877.0,1928
"Comedy, Romance",8.1,30205,23530892.0,1928
"Drama, Romance",8.1,46865,539540.0,1927
"Action, Adventure, Comedy",8.1,81156,1033895.0,1926
"Fantasy, Horror, Mystery",8.1,57428,23530892.0,1920
"Comedy, Drama",8.0,27978,23530892.0,2018
"Adventure, Biography, Drama",8.0,37556,23530892.0,2019
"Drama, History",8.0,52897,23530892.0,2016
"Action, Adventure, Comedy",8.0,72245,8178001.0,2015
"Action, Crime, Thriller",8.0,52848,23530892.0,2015
"Comedy, Drama, Music",8.0,505918,151101803.0,2016
"Biography, Drama",8.0,213970,51739495.0,2016
"Adventure, Drama, Sci-Fi",8.0,760094,228433663.0,2015
"Animation, Adventure, Comedy",8.0,434143,341268248.0,2016
"Action, Drama",8.0,102972,6738000.0,2015
"Animation, Adventure, Drama",8.0,38746,1506975.0,2013
"Drama, Family",8.0,141923,132422809.0,2017
"Drama, Music, Romance",8.0,31886,5566534.0,2019
"Crime, Drama, Thriller",8.0,51069,1079369.0,2013
Drama,8.0,81770,1010414.0,2013
"Action, Crime, Thriller",8.0,114316,2625803.0,2014
"Biography, Drama, Thriller",8.0,685201,91125683.0,2014
"Action, Adventure, Comedy",8.0,1043455,333176600.0,2014
"Action, Drama, Mystery",8.0,461823,92054159.0,2017
"Drama, Romance, Sci-Fi",8.0,540772,25568251.0,2013
"Biography, Drama, Music",8.0,450349,216428042.0,2018
"Action, Adventure, Drama",8.0,705589,183637894.0,2015
"Drama, Romance",8.0,462252,17738570.0,2012
"Action, Crime, Drama",8.0,79200,100119.0,2010
"Biography, Drama, History",8.0,639603,138797449.0,2010
Drama,8.0,428521,169708112.0,2011
"Action, Adventure, Comedy",8.0,902669,363070709.0,2016
"Drama, Mystery",8.0,45803,106662.0,2009
"Drama, Romance",8.0,28749,10950.0,2009
"Action, Biography, Drama",8.0,211427,23530892.0,2008
Drama,8.0,98575,4018695.0,2010
"Action, Drama, Thriller",8.0,31838,23530892.0,2009
"Drama, Romance",8.0,798882,141319928.0,2008
"Drama, Thriller",8.0,699673,106954678.0,2010
"Action, Crime, Drama",8.0,98097,8060.0,2007
"Action, Adventure, Sci-Fi",8.0,1260806,623279547.0,2012
"Animation, Biography, Drama",8.0,88656,4445756.0,2007
"Biography, Drama",8.0,441614,27298285.0,2013
"Biography, Drama",8.0,448930,163566459.0,2006
"Adventure, Drama, Thriller",8.0,499439,57366262.0,2006
"Action, Mystery, Thriller",8.0,604694,227471070.0,2007
"Crime, Drama, Romance",8.0,50610,238507.0,2004
"Crime, Thriller",8.0,738512,74103820.0,2005
"Biography, Drama",8.0,103284,5990075.0,2007
"Adventure, Comedy, Sci-Fi",8.0,56960,23530892.0,2004
"Animation, Adventure, Comedy",8.0,641645,206445654.0,2007
"Action, Adventure, Thriller",8.0,582239,167445960.0,2006
"Action, Crime, Thriller",8.0,683900,66208183.0,2004
Drama,8.0,42399,502028.0,2003
"Drama, Romance",8.0,77520,2380788.0,2003
"Biography, Drama",8.0,77554,2086345.0,2014
"Biography, Drama, History",8.0,176151,61649911.0,2005
"Comedy, Drama, Musical",8.0,63460,1787378.0,2003
"Action, Crime, Drama",8.0,117857,169659.0,2002
"Action, Adventure, Fantasy",8.0,1015122,305413918.0,2003
"Adventure, Drama, Fantasy",8.0,415218,66257002.0,2003
"Animation, Action, Adventure",8.0,657047,261441092.0,2004
"Comedy, Drama, Romance",8.0,45403,23530892.0,2001
"Crime, Drama",8.0,137963,1530386.0,2003
"Comedy, Drama",8.0,33592,23530892.0,2001
"Drama, Mystery, Sci-Fi",8.0,740086,1480006.0,2001
Drama,8.0,289742,22455976.0,1999
"Crime, Drama, Musical",8.0,102285,4184036.0,2000
"Biography, Drama",8.0,82002,6203044.0,1999
"Animation, Crime, Mystery",8.0,58192,776665.0,1997
Drama,8.0,78341,1647780.0,1998
Drama,8.0,36419,5595428.0,1998
"Animation, Action, Adventure",8.0,172083,23159305.0,1999
"Action, Crime, Comedy",8.0,27721,3296.0,1997
Drama,8.0,86838,24475416.0,1996
"Comedy, Drama",8.0,37564,13417292.0,1996
"Mystery, Sci-Fi, Thriller",8.0,578443,57141459.0,1995
"Animation, Action, Crime",8.0,129231,515905.0,1995
"Animation, Family, Fantasy",8.0,300208,75082668.0,1993
"Comedy, Fantasy, Romance",8.0,577991,70906973.0,1993
"Crime, Drama",8.0,28825,4496583.0,1993
Drama,8.0,263918,63895607.0,1992
"Animation, Adventure, Comedy",8.0,373845,217350219.0,1992
"Drama, History, Thriller",8.0,142110,70405498.0,1991
"Animation, Family, Fantasy",8.0,417178,218967620.0,1991
"Adventure, Drama, Western",8.0,240266,184208848.0,1990
"Comedy, Drama",8.0,89429,27545445.0,1989
Drama,8.0,473064,178800000.0,1988
"Animation, Action, Sci-Fi",8.0,164918,553171.0,1988
"Adventure, Family, Fantasy",8.0,393899,30857814.0,1987
"Drama, Fantasy, Romance",8.0,64722,3333969.0,1987
"Drama, War",8.0,31163,4542825.0,1987
"Animation, Adventure, Drama",8.0,150140,23530892.0,1986
"Action, Sci-Fi",8.0,799795,38400000.0,1984
"Biography, Drama, History",8.0,217664,52767889.0,1982
"Drama, History, War",8.0,32195,23530892.0,1980
"Comedy, Drama",8.0,65625,30177511.0,1979
"Comedy, Romance",8.0,251823,39200000.0,1977
"Adventure, Thriller",8.0,543388,260000000.0,1975
"Biography, Crime, Drama",8.0,235652,50000000.0,1975
Comedy,8.0,143359,86300000.0,1974
"Biography, Crime, Drama",8.0,121627,53267000.0,1973
Horror,8.0,362393,232906145.0,1973
"Mystery, Thriller",8.0,44748,4081254.0,1972
"Drama, Romance",8.0,42456,29133000.0,1971
"Drama, Family, Musical",8.0,39491,80500000.0,1971
Drama,8.0,27067,541940.0,1970
"Biography, Crime, Drama",8.0,201888,102308889.0,1969
"Drama, Horror",8.0,193674,23530892.0,1968
"Adventure, Sci-Fi",8.0,165167,33395426.0,1968
"Comedy, Drama, Romance",8.0,253676,104945305.0,1967
Drama,8.0,68926,23530892.0,1966
"Biography, Drama, Family",8.0,205425,163214286.0,1965
"Drama, Romance, War",8.0,69903,111722000.0,1965
"Action, Drama, Western",8.0,198219,14500000.0,1964
Drama,8.0,108844,50690.0,1963
Drama,8.0,28057,23530892.0,1962
"Drama, Sport",8.0,75067,8284000.0,1961
"Comedy, Drama",8.0,66621,19516000.0,1960
"Action, Drama, Western",8.0,56305,12535000.0,1959
"Crime, Drama, Mystery",8.0,59847,11900000.0,1959
"Crime, Drama, Film-Noir",8.0,98431,2237659.0,1958
Drama,8.0,45062,17570324.0,1958
"Drama, Film-Noir",8.0,28137,23530892.0,1957
"Crime, Drama, Film-Noir",8.0,81702,23530892.0,1956
"Crime, Drama, Film-Noir",8.0,81980,654000.0,1955
Drama,8.0,58314,23530892.0,1954
"Crime, Drama, Horror",8.0,61503,23530892.0,1955
"Comedy, Drama, War",8.0,51046,23530892.0,1953
"Comedy, Romance",8.0,127256,23530892.0,1953
Drama,8.0,99182,8000000.0,1951
"Drama, Film-Noir, Mystery",8.0,26784,23530892.0,1950
"Comedy, Crime",8.0,34485,23530892.0,1949
"Crime, Drama, Mystery",8.0,129783,23530892.0,1948
"Crime, Drama, Film-Noir",8.0,32784,23530892.0,1947
"Drama, Romance",8.0,35601,23530892.0,1945
"Drama, Film-Noir, Mystery",8.0,42725,4360000.0,1944
"Drama, Romance, War",8.0,57259,23650000.0,1946
"Comedy, Crime, Thriller",8.0,65101,23530892.0,1942
"Film-Noir, Mystery",8.0,148928,2108060.0,1941
"Drama, History",8.0,85559,55000.0,1940
"Adventure, Family, Fantasy",8.0,371379,2076020.0,1939
"Comedy, Drama",8.0,26725,23530892.0,1939
"Comedy, Crime, Mystery",8.0,26642,23530892.0,1934
"Drama, War",8.0,57318,3270000.0,1930
"Drama, History, Thriller",8.0,53054,50970.0,1925
"Comedy, Crime, Drama",7.9,454203,165359751.0,2019
"Comedy, Drama, Romance",7.9,111478,23530892.0,2020
"Crime, Drama",7.9,62754,3313513.0,2018
"Comedy, Drama, Romance",7.9,246644,2000000.0,2019
"Drama, Romance",7.9,212651,18095701.0,2017
Drama,7.9,53818,258168.0,2016
"Animation, Adventure, Comedy",7.9,139114,32015231.0,2018
"Adventure, Comedy, Drama",7.9,111483,5202582.0,2016
"Comedy, Drama",7.9,189400,5875006.0,2016
"Comedy, Drama, Music",7.9,85109,3237118.0,2016
"Action, Adventure, Comedy",7.9,587775,315058289.0,2017
"Crime, Drama, Thriller",7.9,466134,32381218.0,2014
"Comedy, Drama, War",7.9,297918,349555.0,2019
"Drama, Sci-Fi",7.9,594181,100546139.0,2016
"Action, Adventure, Sci-Fi",7.9,860823,936662225.0,2015
"Drama, Romance",7.9,141457,8114627.0,2013
"Action, Adventure, Sci-Fi",7.9,659763,233921534.0,2014
"Crime, Drama",7.9,41995,138730.0,2011
"Comedy, Drama, Romance",7.9,230624,44671682.0,2011
"Action, Adventure, Sci-Fi",7.9,600004,100206256.0,2014
"Drama, Romance",7.9,93090,6739492.0,2012
"Biography, Crime, Drama",7.9,324720,7000000.0,2019
"Crime, Drama",7.9,93560,2084637.0,2009
"Drama, Mystery, Sci-Fi",7.9,335152,5009677.0,2009
"Crime, Drama, Fantasy",7.9,205609,2122065.0,2008
"Action, Sci-Fi, Thriller",7.9,638202,115646235.0,2009
"Drama, Sport",7.9,289415,26236603.0,2008
"Comedy, Drama, Romance",7.9,47720,410800.0,2007
Drama,7.9,335533,25379975.0,2014
Drama,7.9,56625,1185783.0,2007
"Action, Adventure, Sci-Fi",7.9,577336,257730019.0,2009
"Comedy, Crime, Drama",7.9,390334,7757130.0,2008
"Drama, Fantasy, Mystery",7.9,174125,23530892.0,2007
"Action, Adventure, Drama",7.9,154011,13756082.0,2006
"Adventure, Drama, Fantasy",7.9,107290,2280348.0,2006
"Adventure, Drama, Fantasy",7.9,580708,124987023.0,2012
"Animation, Adventure, Comedy",7.9,199696,21002919.0,2009
"Comedy, Drama",7.9,31476,23530892.0,2005
"Drama, Music",7.9,57430,3635164.0,2004
"Action, Adventure, Sci-Fi",7.9,939644,318412101.0,2008
"Comedy, Horror",7.9,512249,13542874.0,2004
"Drama, Romance",7.9,51325,23530892.0,2004
