IMDB_Rating,Meta_score,Gross
8.1,96.0,203300.0
8.1,86.0,4360000.0
8.1,73.0,9600000.0
8.1,97.0,198676459.0
8.1,79.0,172885.0
8.1,87.0,4360000.0
8.1,79.0,21877.0
8.1,90.0,23530892.0
8.1,79.0,539540.0
8.1,79.0,1033895.0
8.1,79.0,23530892.0
8.0,79.0,23530892.0
8.0,69.0,23530892.0
8.0,79.0,23530892.0
8.0,79.0,8178001.0
8.0,79.0,23530892.0
8.0,94.0,151101803.0
8.0,69.0,51739495.0
8.0,80.0,228433663.0
8.0,78.0,341268248.0
8.0,79.0,6738000.0
8.0,89.0,1506975.0
8.0,66.0,132422809.0
8.0,65.0,5566534.0
8.0,79.0,1079369.0
8.0,82.0,1010414.0
8.0,71.0,2625803.0
8.0,73.0,91125683.0
8.0,76.0,333176600.0
8.0,81.0,92054159.0
8.0,90.0,25568251.0
8.0,49.0,216428042.0
8.0,76.0,183637894.0
8.0,67.0,17738570.0
8.0,71.0,100119.0
8.0,88.0,138797449.0
8.0,62.0,169708112.0
8.0,65.0,363070709.0
8.0,87.0,106662.0
8.0,79.0,10950.0
8.0,59.0,23530892.0
8.0,50.0,4018695.0
8.0,79.0,23530892.0
8.0,84.0,141319928.0
8.0,79.0,106954678.0
8.0,33.0,8060.0
8.0,69.0,623279547.0
8.0,90.0,4445756.0
8.0,80.0,27298285.0
8.0,64.0,163566459.0
8.0,64.0,57366262.0
8.0,85.0,227471070.0
8.0,72.0,238507.0
8.0,74.0,74103820.0
8.0,92.0,5990075.0
8.0,79.0,23530892.0
8.0,96.0,206445654.0
8.0,80.0,167445960.0
8.0,83.0,66208183.0
8.0,82.0,502028.0
8.0,85.0,2380788.0
8.0,74.0,2086345.0
8.0,69.0,61649911.0
8.0,54.0,1787378.0
8.0,75.0,169659.0
8.0,63.0,305413918.0
8.0,58.0,66257002.0
8.0,90.0,261441092.0
8.0,79.0,23530892.0
8.0,60.0,1530386.0
8.0,79.0,23530892.0
8.0,88.0,1480006.0
8.0,77.0,22455976.0
8.0,61.0,4184036.0
8.0,86.0,6203044.0
8.0,79.0,776665.0
8.0,82.0,1647780.0
8.0,80.0,5595428.0
8.0,85.0,23159305.0
8.0,79.0,3296.0
8.0,84.0,24475416.0
8.0,91.0,13417292.0
8.0,74.0,57141459.0
8.0,76.0,515905.0
8.0,82.0,75082668.0
8.0,72.0,70906973.0
8.0,47.0,4496583.0
8.0,59.0,63895607.0
8.0,86.0,217350219.0
8.0,72.0,70405498.0
8.0,95.0,218967620.0
8.0,72.0,184208848.0
